,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 F&F,,,,73.23
1,매출액<당기>,,,"10,892","18,867"
2,매출액<전기>,,,,"10,892"
3,"펼치기 화장품,의류,완구",,-5.62,15.60,7.98
4,매출액<당기>,,"727,617","889,613","704,549"
5,매출액<전기>,,"770,129","727,617","889,613"
6,펼치기 코스피,,-0.39,16.04,12.96
7,매출액<당기>,,"25,228,013","29,244,221","26,647,666"
8,매출액<전기>,,"25,605,529","25,228,013","29,244,221"
