,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SNT중공업,-5.34,-19.56,11.33,
1,매출액<당기>,"3,751","3,018","3,360",
2,매출액<전기>,"3,963","3,751","3,018","3,360"
3,펼치기 자동차,7.31,-2.94,13.84,12.52
4,매출액<당기>,"2,972,064","2,885,212","3,290,004","3,063,821"
5,매출액<전기>,"2,776,657","2,972,064","2,885,212","3,290,004"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
