,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 강원랜드,5.70,-68.52,64.74,70.45
1,매출액<당기>,"15,201","4,786","7,884","13,439"
2,매출액<전기>,"14,381","15,201","4,786","7,884"
3,"펼치기 호텔,레저서비스",12.42,-45.08,16.23,31.89
4,매출액<당기>,"125,827","69,140","78,951","91,268"
5,매출액<전기>,"108,251","125,827","69,140","78,951"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
