,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 갤럭시아에스엠,30.42,-32.00,47.90,
1,매출액<당기>,287,195,289,
2,매출액<전기>,220,287,195,289
3,"펼치기 미디어,교육",11.02,-11.78,20.61,22.58
4,매출액<당기>,"231,091","210,010","246,752","245,016"
5,매출액<전기>,"218,903","231,091","210,010","246,752"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
