,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 GS,0.24,-13.17,31.05,21.44
1,매출액<당기>,"177,861","154,442","202,401","245,796"
2,매출액<전기>,"177,444","177,861","154,442","202,401"
3,펼치기 에너지,-5.91,-26.39,44.10,55.37
4,매출액<당기>,"1,279,516","939,392","1,413,671","1,942,121"
5,매출액<전기>,"1,088,123","1,279,516","939,392","1,413,671"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
