,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 JB금융지주,-1.68,0.32,5.21,
1,매출액<당기>,"24,079","24,156","25,415",
2,매출액<전기>,"24,489","24,079","24,156","25,415"
3,펼치기 은행,15.06,15.02,-1.46,-1.18
4,매출액<당기>,"1,749,388","2,024,004","1,987,289","47,604"
5,매출액<전기>,"1,545,390","1,749,388","2,024,004","1,987,289"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
