,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 LG,-15.61,-20.44,31.93,15.45
1,매출액<당기>,"65,345","51,991","68,590","79,186"
2,매출액<전기>,"77,434","65,345","51,991","68,590"
3,"펼치기 상사,자본재",2.07,-9.88,21.58,10.78
4,매출액<당기>,"2,740,911","2,446,447","2,938,119","3,055,825"
5,매출액<전기>,"2,967,221","2,740,911","2,446,447","2,938,119"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
