,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 KG스틸,-4.59,-3.53,43.22,
1,매출액<당기>,"24,283","23,424","33,548",
2,매출액<전기>,"25,451","24,283","23,424","33,548"
3,펼치기 철강,-0.43,-10.38,36.18,17.84
4,매출액<당기>,"1,174,058","1,051,428","1,450,261","1,352,890"
5,매출액<전기>,"1,181,816","1,174,058","1,051,428","1,450,261"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
