,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 고려아연,-2.74,13.25,31.59,16.14
1,매출액<당기>,"66,948","75,819","99,768","115,874"
2,매출액<전기>,"68,833","66,948","75,819","99,768"
3,"펼치기 비철,목재등",-3.96,1.39,28.62,15.57
4,매출액<당기>,"336,851","330,810","458,877","220,804"
5,매출액<전기>,"334,272","336,851","330,810","458,877"
6,펼치기 코스피,2.92,-0.39,16.04,12.96
7,매출액<당기>,"25,605,529","25,228,013","29,244,221","26,647,666"
8,매출액<전기>,"24,924,161","25,605,529","25,228,013","29,244,221"
