,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK스퀘어,,,,
1,매출액<당기>,,,"11,464",
2,매출액<전기>,,,,"11,464"
3,펼치기 반도체,,5.21,20.74,19.98
4,매출액<당기>,,"2,901,679","3,512,202","4,043,985"
5,매출액<전기>,,"2,750,978","2,901,679","3,512,202"
6,펼치기 코스피,,-0.39,16.04,12.96
7,매출액<당기>,,"25,228,013","29,244,221","26,647,666"
8,매출액<전기>,,"25,605,529","25,228,013","29,244,221"
