"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-01",100.283,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.2036,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.1131,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.0412,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.0121,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.0406,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.1171,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.2322,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.38,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.5547,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.7441,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2005-12",100.926,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-01",101.0822,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-02",101.2068,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-03",101.2966,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-04",101.351,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-05",101.3754,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.391,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.4177,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.4754,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.5684,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-10",101.6861,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-11",101.8167,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2006-12",101.9488,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-01",102.0689,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-02",102.1782,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-03",102.2741,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-04",102.3515,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-05",102.4004,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-06",102.4113,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-07",102.3784,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-08",102.3025,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-09",102.2004,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-10",102.0803,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2007-11",101.9386,
