,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 DSR제강,-48.41,-44.61,-46.37,-32.65
1,철강대비,-29.91,-39.02,-46.95,-37.78
2,코스피대비,-56.86,-86.41,-93.31,-61.16
3,철강,-18.50,-5.59,0.58,5.13
4,코스피,8.45,41.80,46.94,28.51
