,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SKC,54.55,184.85,428.79,334.85
1,화학대비,60.92,95.69,345.76,276.91
2,코스피대비,46.10,143.05,381.85,306.34
3,화학,-6.37,89.16,83.03,57.93
4,코스피,8.45,41.80,46.94,28.51
