,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SNT홀딩스,0.27,-3.30,14.23,10.66
1,자동차대비,13.92,-17.16,-11.67,-2.75
2,코스피대비,-8.18,-45.09,-32.71,-17.85
3,자동차,-13.65,13.86,25.90,13.40
4,코스피,8.45,41.80,46.94,28.51
