,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 금호건설,18.80,-6.20,19.83,2.17
1,"건설,건축관련대비",33.33,2.47,16.61,2.97
2,코스피대비,10.35,-48.00,-27.10,-26.34
3,"건설,건축관련",-14.53,-8.67,3.23,-0.80
4,코스피,8.45,41.80,46.94,28.51
