,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 KCTC,-17.04,13.12,87.63,81.30
1,운송대비,-14.95,-24.11,28.94,8.85
2,코스피대비,-25.49,-28.68,40.69,52.79
3,운송,-2.09,37.24,58.69,72.44
4,코스피,8.45,41.80,46.94,28.51
