,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 국도화학,-14.30,-1.64,32.84,24.14
1,화학대비,-7.93,-90.80,-50.19,-33.79
2,코스피대비,-22.75,-43.44,-14.10,-4.37
3,화학,-6.37,89.16,83.03,57.93
4,코스피,8.45,41.80,46.94,28.51
