,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 DGB금융지주,-27.12,-30.50,-3.99,-12.38
1,은행대비,-28.11,-17.13,-8.44,-20.97
2,코스피대비,-35.57,-72.30,-50.93,-40.90
3,은행,0.98,-13.37,4.44,8.59
4,코스피,8.45,41.80,46.94,28.51
