,항목,,2020,2021,2022 연간컨센서스닫기
0,펼치기 SK스퀘어,,,-12.63,-41.58
1,반도체대비,,,-21.91,-34.62
2,코스피대비,,,-14.98,-31.09
3,반도체,,9.35,9.28,-6.96
4,코스피,,-1.23,2.35,-10.49
