,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 금강공업,-51.21,-31.33,0.00,16.75
1,"건설,건축관련대비",-36.69,-22.66,-3.23,17.55
2,코스피대비,-59.66,-73.13,-46.94,-11.76
3,"건설,건축관련",-14.53,-8.67,3.23,-0.80
4,코스피,8.45,41.80,46.94,28.51
