,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 CJ,-45.22,-47.77,-52.70,-52.31
1,"상사,자본재대비",-33.89,-42.84,-48.08,-47.93
2,코스피대비,-53.67,-89.57,-99.64,-80.82
3,"상사,자본재",-11.32,-4.93,-4.63,-4.38
4,코스피,8.45,41.80,46.94,28.51
