,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 갤럭시아에스엠,-30.12,-32.71,43.76,-2.82
1,"미디어,교육대비",-27.15,-27.05,8.65,-12.88
2,코스피대비,-38.57,-74.50,-3.17,-31.34
3,"미디어,교육",-2.96,-5.66,35.11,10.05
4,코스피,8.45,41.80,46.94,28.51
