,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 IHQ,-6.43,-13.67,-20.91,-45.84
1,"미디어,교육대비",-3.47,-8.02,-56.02,-55.90
2,코스피대비,-14.88,-55.47,-67.85,-74.36
3,"미디어,교육",-2.96,-5.66,35.11,10.05
4,코스피,8.45,41.80,46.94,28.51
