,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 STX엔진,2.26,9.80,44.80,105.13
1,조선대비,-13.63,-1.34,45.25,97.21
2,코스피대비,-6.19,-31.99,-2.14,76.62
3,조선,15.89,11.14,-0.45,7.92
4,코스피,8.45,41.80,46.94,28.51
