,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 S-Oil,12.51,-18.30,1.18,30.46
1,에너지대비,9.56,-24.10,-20.82,9.25
2,코스피대비,4.07,-60.10,-45.76,1.95
3,에너지,2.95,5.80,22.00,21.21
4,코스피,8.45,41.80,46.94,28.51
