,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SK케미칼,-40.46,265.12,107.74,77.07
1,화학대비,-11.75,221.08,68.38,56.81
2,코스피대비,-28.46,250.06,88.52,72.79
3,화학,-28.71,44.03,39.36,20.25
4,코스피,-12.01,15.05,19.22,4.27
