,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 KISCO홀딩스,4.58,16.01,18.87,39.71
1,철강대비,23.08,21.60,18.29,34.58
2,코스피대비,-3.87,-25.78,-28.07,11.19
3,철강,-18.50,-5.59,0.58,5.13
4,코스피,8.45,41.80,46.94,28.51
