,항목,2020,2020,2021,2021 연간컨센서스닫기
0,펼치기 ESR켄달스퀘어리츠,-2.31,-2.31,23.97,34.35
1,은행대비,-0.31,-0.31,5.81,11.51
2,코스피대비,-6.43,-6.43,16.08,39.99
3,은행,-2.00,-2.00,18.16,22.85
4,코스피,4.12,4.12,7.89,-5.64
