,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SG글로벌,-49.49,-39.24,-46.41,-48.46
1,자동차대비,-35.84,-53.10,-72.31,-61.87
2,코스피대비,-57.94,-81.04,-93.35,-76.97
3,자동차,-13.65,13.86,25.90,13.40
4,코스피,8.45,41.80,46.94,28.51
