,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 NHN,32.80,48.31,71.51,14.15
1,소프트웨어대비,7.51,-51.74,-79.16,-54.30
2,코스피대비,24.35,6.51,24.57,-14.36
3,소프트웨어,25.29,100.05,150.66,68.45
4,코스피,8.45,41.80,46.94,28.51
