,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 금비,-30.25,-14.19,-28.49,-25.19
1,"비철,목재등대비",-25.49,-13.43,-42.64,-38.55
2,코스피대비,-37.79,-54.80,-74.20,-52.62
3,"비철,목재등",-4.77,-0.76,14.15,13.36
4,코스피,7.54,40.61,45.70,27.43
