,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 GS건설,17.17,42.64,49.43,49.81
1,"건설,건축관련대비",31.70,51.31,46.21,50.61
2,코스피대비,8.72,0.84,2.50,21.30
3,"건설,건축관련",-14.53,-8.67,3.23,-0.80
4,코스피,8.45,41.80,46.94,28.51
