,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 경방,-39.35,-18.95,-10.13,0.33
1,"화장품,의류,완구대비",-34.03,-17.50,-1.99,22.02
2,코스피대비,-47.80,-60.75,-57.07,-28.19
3,"화장품,의류,완구",-5.32,-1.45,-8.14,-21.69
4,코스피,8.45,41.80,46.94,28.51
