,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 그린케미칼,-10.75,157.56,139.47,134.05
1,화학대비,-4.37,68.39,56.44,76.11
2,코스피대비,-19.20,115.76,92.53,105.54
3,화학,-6.37,89.16,83.03,57.93
4,코스피,8.45,41.80,46.94,28.51
