,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 BGF리테일,-12.63,-30.15,-25.00,1.29
1,소매(유통)대비,19.18,5.35,9.36,39.66
2,코스피대비,-1.82,-46.77,-45.85,-4.40
3,소매(유통),-31.81,-35.50,-34.36,-38.37
4,코스피,-10.81,16.62,20.85,5.69
