,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 STX,-51.74,-66.26,-73.11,-73.54
1,"상사,자본재대비",-40.42,-61.33,-68.48,-69.16
2,코스피대비,-60.19,-108.06,-120.05,-102.05
3,"상사,자본재",-11.32,-4.93,-4.63,-4.38
4,코스피,8.45,41.80,46.94,28.51
