,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 LG,23.00,45.83,34.83,25.00
1,"상사,자본재대비",34.32,50.76,39.46,29.38
2,코스피대비,14.55,4.04,-12.11,-3.51
3,"상사,자본재",-11.32,-4.93,-4.63,-4.38
4,코스피,8.45,41.80,46.94,28.51
