,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 LG전자,39.73,161.63,167.44,108.33
1,IT가전대비,-16.85,-87.71,-134.29,-123.10
2,코스피대비,31.28,119.83,120.50,79.82
3,IT가전,56.58,249.34,301.73,231.44
4,코스피,8.45,41.80,46.94,28.51
