,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 LS ELECTRIC,37.36,58.74,40.38,24.53
1,기계대비,60.87,62.99,36.33,20.54
2,코스피대비,28.91,16.94,-6.56,-3.98
3,기계,-23.51,-4.25,4.05,3.99
4,코스피,8.45,41.80,46.94,28.51
