,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 NAVER,20.32,88.71,144.19,77.10
1,소프트웨어대비,-4.97,-11.34,-6.47,8.65
2,코스피대비,11.87,46.91,97.25,48.58
3,소프트웨어,25.29,100.05,150.66,68.45
4,코스피,8.45,41.80,46.94,28.51
