,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 LG이노텍,58.37,106.45,311.76,279.52
1,IT하드웨어대비,20.28,28.71,209.73,205.93
2,코스피대비,49.92,64.65,264.83,251.01
3,IT하드웨어,38.09,77.74,102.04,73.59
4,코스피,8.45,41.80,46.94,28.51
