,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 DL건설,17.46,80.77,60.65,44.08
1,"건설,건축관련대비",31.98,89.44,57.42,44.88
2,코스피대비,9.01,38.97,13.71,15.57
3,"건설,건축관련",-14.53,-8.67,3.23,-0.80
4,코스피,8.45,41.80,46.94,28.51
