,항목,,2020,2021,2022 연간컨센서스닫기
0,펼치기 DL이앤씨,,,-6.67,-17.62
1,"건설,건축관련대비",,,-10.62,-17.52
2,코스피대비,,,0.54,1.23
3,"건설,건축관련",,-8.03,3.95,-0.10
4,코스피,,-10.46,-7.21,-18.85
