,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SJM,-36.42,-45.45,-18.87,-32.12
1,자동차대비,-22.77,-59.31,-44.77,-45.52
2,코스피대비,-44.87,-87.24,-65.81,-60.63
3,자동차,-13.65,13.86,25.90,13.40
4,코스피,8.45,41.80,46.94,28.51
