,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 가온전선,4.95,-1.80,7.21,13.96
1,기계대비,28.47,2.45,3.16,9.98
2,코스피대비,-3.49,-43.60,-39.73,-14.55
3,기계,-23.51,-4.25,4.05,3.99
4,코스피,8.45,41.80,46.94,28.51
