,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 DI동일,30.17,161.16,404.37,356.12
1,"화장품,의류,완구대비",35.49,162.61,412.51,377.81
2,코스피대비,21.72,119.36,357.43,327.61
3,"화장품,의류,완구",-5.32,-1.45,-8.14,-21.69
4,코스피,8.45,41.80,46.94,28.51
