,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 DB하이텍,73.58,220.75,357.23,336.48
1,반도체대비,13.81,93.22,229.84,242.88
2,코스피대비,65.14,178.96,310.29,307.97
3,반도체,59.78,127.54,127.39,93.60
4,코스피,8.45,41.80,46.94,28.51
