,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 NI스틸,-29.51,-18.18,7.66,63.32
1,철강대비,-11.00,-12.59,7.08,58.19
2,코스피대비,-37.95,-59.98,-39.28,34.81
3,철강,-18.50,-5.59,0.58,5.13
4,코스피,8.45,41.80,46.94,28.51
