,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SK이노베이션,2.39,29.69,62.80,40.96
1,에너지대비,-0.57,23.89,40.80,19.75
2,코스피대비,-6.06,-12.10,15.86,12.44
3,에너지,2.95,5.80,22.00,21.21
4,코스피,8.45,41.80,46.94,28.51
