,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SK네트웍스,-14.16,-29.84,-27.46,-31.00
1,"상사,자본재대비",-2.84,-24.91,-22.83,-26.62
2,코스피대비,-22.61,-71.64,-74.40,-59.51
3,"상사,자본재",-11.32,-4.93,-4.63,-4.38
4,코스피,8.45,41.80,46.94,28.51
