,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 JB금융지주,-5.02,-2.42,44.46,48.79
1,은행대비,-6.00,10.95,40.02,40.20
2,코스피대비,-13.47,-44.22,-2.47,20.28
3,은행,0.98,-13.37,4.44,8.59
4,코스피,8.45,41.80,46.94,28.51
