,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 OCI,-20.46,18.17,32.15,32.15
1,화학대비,-14.08,-70.99,-50.88,-25.79
2,코스피대비,-28.91,-23.63,-14.79,3.64
3,화학,-6.37,89.16,83.03,57.93
4,코스피,8.45,41.80,46.94,28.51
