,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 고려제강,-43.17,-53.29,-38.20,-10.08
1,철강대비,-24.66,-47.70,-38.78,-15.21
2,코스피대비,-51.61,-95.09,-85.14,-38.60
3,철강,-18.50,-5.59,0.58,5.13
4,코스피,8.45,41.80,46.94,28.51
