,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 KG케미칼,-18.64,61.69,108.47,162.71
1,에너지대비,-21.60,55.90,86.47,141.50
2,코스피대비,-27.09,19.90,61.54,134.20
3,에너지,2.95,5.80,22.00,21.21
4,코스피,8.45,41.80,46.94,28.51
