,항목,2021,2021,2021,2022 연간컨센서스닫기
0,펼치기 SK리츠,6.57,6.57,6.57,19.72
1,은행대비,8.67,8.67,8.67,17.93
2,코스피대비,12.01,12.01,12.01,37.02
3,은행,-2.10,-2.10,-2.10,1.79
4,코스피,-5.44,-5.44,-5.44,-17.29
