,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 교촌에프앤비,,-37.26,-46.45,-52.74
1,필수소비재대비,,-38.33,-45.87,-50.77
2,코스피대비,,-53.33,-66.73,-57.94
3,필수소비재,-1.89,1.07,-0.58,-1.97
4,코스피,-11.23,16.07,20.28,5.20
