,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SHD,-17.97,-21.99,14.53,13.19
1,철강대비,0.53,-16.40,13.95,8.06
2,코스피대비,-26.42,-63.79,-32.41,-15.32
3,철강,-18.50,-5.59,0.58,5.13
4,코스피,8.45,41.80,46.94,28.51
