,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SNT중공업,-27.27,-35.20,-1.42,-4.06
1,자동차대비,-13.62,-49.06,-27.31,-17.46
2,코스피대비,-35.72,-76.99,-48.36,-32.57
3,자동차,-13.65,13.86,25.90,13.40
4,코스피,8.45,41.80,46.94,28.51
