,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 CS홀딩스,-27.51,-26.89,-20.57,-19.45
1,철강대비,-9.01,-21.30,-21.15,-24.58
2,코스피대비,-35.96,-68.69,-67.51,-47.97
3,철강,-18.50,-5.59,0.58,5.13
4,코스피,8.45,41.80,46.94,28.51
