,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 BGF,-93.36,-94.19,-93.72,-93.85
1,소매(유통)대비,-73.84,-70.31,-71.20,-66.59
2,코스피대비,-101.80,-135.99,-140.66,-122.37
3,소매(유통),-19.52,-23.88,-22.53,-27.27
4,코스피,8.45,41.80,46.94,28.51
