,항목,,2020,2021,2022 연간컨센서스닫기
0,펼치기 F&F,,,129.09,52.73
1,"화장품,의류,완구대비",,,148.74,84.23
2,코스피대비,,,134.75,70.22
3,"화장품,의류,완구",,-13.80,-19.65,-31.50
4,코스피,,-8.96,-5.66,-17.49
