,항목,2019,2020,2021,2022 연간컨센서스닫기
0,펼치기 SK디앤디,-1.19,46.52,7.81,0.68
1,은행대비,-2.17,59.89,3.37,-7.91
2,코스피대비,-9.64,4.72,-39.13,-27.83
3,은행,0.98,-13.37,4.44,8.59
4,코스피,8.45,41.80,46.94,28.51
