,항목,2020,2020,2021,2022 연간컨센서스닫기
0,펼치기 NH프라임리츠,-34.38,-34.38,-26.46,-23.69
1,은행대비,-21.53,-21.53,-31.54,-32.94
2,코스피대비,-73.82,-73.82,-70.96,-50.07
3,은행,-12.85,-12.85,5.07,9.24
4,코스피,39.44,39.44,44.49,26.37
