,항목,,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 SK스퀘어,,,34.31,
1,부채총계,,,"57,838",
2,자본총계,,,"168,553",
3,펼치기 반도체,,38.60,43.17,
4,부채총계,,"1,340,563","1,761,892",
5,자본총계,,"3,472,677","4,081,718",
6,펼치기 코스피,,300.86,289.24,
7,부채총계,,"55,343,981","60,663,500",
8,자본총계,,"18,395,440","20,973,232",
